id,name,description,categories,opening_hour,closing_hour,main_dish
39,Le Silver Bistro,"Experience the finest in French dining at Le Silver Bistro. Our Coq au Vin, paired with a great wine list, promises a rich and satisfying meal that embodies the essence of French cuisine.",French food,10:00 AM,9:00 PM,Coq au Vin
40,Smokey Coq Grill,"For the best in French-inspired BBQ, Smokey Coq Grill delivers smoky goodness in every bite. Our Coq au Vin is the star of the show, bringing French culinary tradition to the grill.",French food,8:00 AM,10:00 PM,Coq au Vin
41,Silver & Gold,"A sophisticated fine dining experience with a focus on French classics and innovative techniques. Our Beef Wellington is a must-try, featuring the finest cuts of meat and elegant preparation.",Fine dining,8:00 AM,10:00 PM,Beef Wellington
42,Café Italiano,"Where every dish is made with the finest Italian ingredients. Our Chef's Special offers an authentic taste of Italy, bringing you the flavors of the Mediterranean with every bite.",Italian food,6:00 AM,8:00 PM,Chef's Special
43,Gourmet Diner,"Gourmet Diner is the perfect place to experience elevated fine dining. Our Beef Wellington is a customer favorite, offering tender meat wrapped in pastry with a rich, flavorful filling.",Fine dining,6:00 AM,10:00 PM,Beef Wellington
44,Brunch Heaven,"Brunch at Brunch Heaven offers delicious and satisfying dishes for every taste. Our Avocado Toast is the perfect way to start your day, with fresh ingredients and wholesome flavors.",Brunch  & Other food,10:00 AM,11:00 PM,Avocado Toast
45,Burger & Fries,"A fast food paradise for burger lovers. At Burger & Fries, we pride ourselves on serving hearty, flavorful Cheeseburgers made with the freshest ingredients. Perfect for a quick, satisfying meal.",Fast food,6:00 AM,10:00 PM,Cheeseburger
46,Creamy Treats,"A fast food spot that brings you the best comfort food with a creamy twist. Our Cheeseburger is an all-time favorite, made with quality ingredients and served with a side of creamy goodness.",Fast food,7:00 AM,10:00 PM,Cheeseburger
47,Maxie’s Café,"Maxie’s Café serves a delicious blend of modern creativity and traditional cooking. Our Chef's Special is the highlight of the menu, offering a diverse range of dishes that showcase the best of Italian cuisine.",Italian food,6:00 AM,11:00 PM,Chef's Special
48,Fresh Bites,"A fast food joint where freshness meets flavor. Our Cheeseburger is juicy, delicious, and made with the freshest ingredients to ensure you enjoy every bite.",Fast food,7:00 AM,11:00 PM,Cheeseburger
49,Veggie Feast,"A vegetarian haven offering wholesome and nutritious meals. Our Grilled Vegetable Platter is a healthy and flavorful choice, made with the freshest seasonal vegetables.",Vegan food,10:00 AM,10:00 PM,Grilled Vegetable Platter
50,Brunch Spot,"Brunch Spot is where you can enjoy a relaxing and flavorful brunch experience. Our Avocado Toast is the perfect light meal to enjoy with a cup of coffee, featuring fresh ingredients for a healthy start to your day.",Brunch  & Other food,8:00 AM,8:00 PM,Avocado Toast
51,Sushi & Avocado,"A trendy spot offering fresh sushi and healthy avocado-based dishes for brunch. Enjoy a balanced, flavorful meal with the finest ingredients.",Brunch  & Other food,8:00 AM,11:00 PM,Avocado Toast
52,Bella Italia,Experience authentic Italian cuisine with a focus on quality ingredients and excellent service. Our Chef's Special will transport your taste buds to Italy.,Italian food,6:00 AM,8:00 PM,Chef's Special
53,Le Coq Bistro,A charming French bistro serving classic dishes with a modern twist. Indulge in the delicious Coq au Vin for an unforgettable culinary experience.,French food,9:00 AM,8:00 PM,Coq au Vin
54,Sushi Mountain,A vibrant japanese restaurant combining traditional sushi with a creative twist. The Chef's Special features unique flavors and culinary innovation.,Japanese food,8:00 AM,9:00 PM,Chef's Sashimi
55,The Pasta Box,"A casual Italian eatery offering freshly made pasta and other Italian classics. Our Chef's Special is crafted with love and fresh, seasonal ingredients.",Italian food,9:00 AM,9:00 PM,Chef's Special
56,Green Garden Café,A welcoming vegetarian café offering fresh and healthy options. Try our Grilled Vegetable Platter for a nutritious and satisfying meal.,Vegan food,7:00 AM,11:00 PM,Grilled Vegetable Platter
57,The Veggie Delight,"A vegetarian haven with wholesome, delicious meals. Our Grilled Vegetable Platter is the perfect choice for those seeking healthy, plant-based dishes.",Vegan food,6:00 AM,9:00 PM,Grilled Vegetable Platter
58,Classic Italian Kitchen,"Authentic Italian food made with the finest ingredients. Our Chef's Special offers a traditional, comforting taste of Italy.",Italian food,6:00 AM,8:00 PM,Chef's Special
59,French Country Pub,A cozy French pub offering hearty meals and a warm atmosphere. Enjoy a delicious Coq au Vin paired with our selection of fine wines.,French food,7:00 AM,10:00 PM,Coq au Vin
60,Steakhouse Haven,A classic steakhouse offering juicy steaks and comforting sides. Our Chef's Special features the finest cuts of meat prepared to perfection.,Italian food,8:00 AM,10:00 PM,Chef's Special
61,Gastronomy & Grace,A refined dining experience where excellent food meets gracious hospitality. Our Avocado Toast is a healthy and flavorful option for brunch.,Brunch  & Other food,7:00 AM,9:00 PM,Avocado Toast
62,Classic Café,A beloved café offering classic brunch dishes with a modern twist. Enjoy our Avocado Toast along with your favorite coffee or tea.,Brunch  & Other food,9:00 AM,11:00 PM,Avocado Toast
63,Green Sushi,"A vegetarian sushi restaurant that brings fresh, sustainable ingredients to every dish. Our Grilled Vegetable Platter offers a healthy, satisfying choice.",Vegan food,6:00 AM,8:00 PM,Grilled Vegetable Platter
64,Brunch & Co.,"A trendy brunch spot that serves fresh, delicious meals. Our Avocado Toast is a customer favorite, perfect for a light and nutritious meal.",Brunch  & Other food,6:00 AM,8:00 PM,Avocado Toast
65,French Flair,Savor the flavors of France with our Coq au Vin and other classic French dishes. A delightful dining experience with exceptional service.,French food,8:00 AM,11:00 PM,Coq au Vin
66,Brunch Bistro,A charming bistro serving the best brunch options. Our Avocado Toast is served with a side of fresh fruit and a warm cup of coffee.,Brunch  & Other food,9:00 AM,10:00 PM,Avocado Toast
67,Burger Haven,A fast food joint offering the finest cheeseburgers made with premium beef and fresh toppings. Grab a Cheeseburger for a satisfying meal on the go.,Fast food,8:00 AM,11:00 PM,Cheeseburger
68,Le Coq & Co.,"Experience the best of French cuisine at our restaurant. Our Coq au Vin is a rich, flavorful dish that's sure to impress.",French food,6:00 AM,10:00 PM,Coq au Vin
69,Vino & Grill,An Italian grill house offering expertly grilled meats and seafood. Our Chef's Special brings you the best of Italian flavors in every bite.,Italian food,6:00 AM,10:00 PM,Chef's Special
70,Grill & Sizzle,A French-style grill offering premium cuts of meat and rich sauces. Savor the Coq au Vin for a truly exceptional meal.,French food,6:00 AM,11:00 PM,Coq au Vin
71,Fast & Tasty,A fast food restaurant known for its delicious cheeseburgers and speedy service. Grab a Cheeseburger for a quick and tasty meal.,Fast food,6:00 AM,9:00 PM,Cheeseburger
72,Burger Deluxe,An upscale fast food experience with gourmet burgers and a variety of sides. Our Coq au Vin and gourmet Cheeseburger options are a must-try.,French food,8:00 AM,8:00 PM,Coq au Vin
73,The Veggie Spoon,A vegetarian eatery serving healthy and delicious plant-based dishes. Our Grilled Vegetable Platter is the perfect choice for a wholesome meal.,Vegan food,8:00 AM,10:00 PM,Grilled Vegetable Platter
74,Eats & Treats,A cozy spot offering a wide range of comfort foods with impeccable service. Try our Avocado Toast for a light yet satisfying meal.,Brunch  & Other food,9:00 AM,11:00 PM,Avocado Toast
75,Vegetarian King,"A vegetarian restaurant serving wholesome, delicious meals. Our Grilled Vegetable Platter is made with the finest, freshest ingredients.",Vegan food,8:00 AM,10:00 PM,Grilled Vegetable Platter
76,Burger Haven,"At Burger Haven, we are committed to serving the best, juiciest cheeseburgers with fresh ingredients and the finest quality meats.",Fast food,8:00 AM,11:00 PM,Cheeseburger
77,Le Coq Bistro,"Le Coq Bistro offers authentic French cuisine with a focus on traditional dishes like Coq au Vin, paired with an exceptional wine list.",French food,7:00 AM,10:00 PM,Coq au Vin
78,Veggie Garden,"Veggie Garden specializes in delicious vegetarian dishes made with fresh, organic ingredients. Our Grilled Vegetable Platter is a customer favorite.",Vegan food,7:00 AM,11:00 PM,Grilled Vegetable Platter
79,Bistro Coq,"Savor the finest French culinary creations at Bistro Coq, where our Coq au Vin brings together the best of rustic French cuisine.",French food,7:00 AM,10:00 PM,Coq au Vin
80,The Parisian Table,Enjoy classic French dishes with a modern twist at The Parisian Table. Our Coq au Vin is a signature dish you'll return for.,French food,7:00 AM,8:00 PM,Coq au Vin
81,La Poule,La Poule offers a cozy French dining experience with a focus on Coq au Vin and other beloved French comfort foods.,French food,8:00 AM,8:00 PM,Coq au Vin
82,Burger Bliss,Burger Bliss is where fast food meets gourmet. Come enjoy a perfectly grilled cheeseburger with a variety of delicious toppings.,Fast food,8:00 AM,10:00 PM,Cheeseburger
83,The Green Oven,"The Green Oven offers a wide selection of vegetarian meals, with a standout Grilled Vegetable Platter that is both satisfying and healthy.",Vegan food,9:00 AM,10:00 PM,Grilled Vegetable Platter
84,Garden Feast,"At Garden Feast, we serve vibrant vegetarian dishes. Our Grilled Vegetable Platter is a wholesome and delicious choice for all veggie lovers.",Vegan food,8:00 AM,10:00 PM,Grilled Vegetable Platter
85,Pasta Pronto,Pasta Pronto serves mouth-watering Italian dishes with a special focus on seasonal specialties like our Chef's Special pasta.,Italian food,9:00 AM,10:00 PM,Chef's Special
86,Spaghetti House,"Spaghetti House is your go-to for authentic Italian pasta. Don’t miss our Chef’s Special, created with fresh seasonal ingredients.",Italian food,7:00 AM,9:00 PM,Chef's Special
87,Le Coq & Wine,"Le Coq & Wine brings the elegance of French dining with a focus on the legendary Coq au Vin, complemented by an extensive wine selection.",French food,6:00 AM,8:00 PM,Coq au Vin
88,Veggie Delight,Veggie Delight offers an array of flavorful vegetarian options. The Grilled Vegetable Platter is a satisfying and nourishing choice.,Vegan food,6:00 AM,11:00 PM,Grilled Vegetable Platter
89,Cheeseburger Express,"Cheeseburger Express is your perfect stop for a quick, delicious cheeseburger meal, served fast and hot, just the way you like it.",Fast food,6:00 AM,11:00 PM,Cheeseburger
90,Grilled Veggie Café,"Grilled Veggie Café serves healthy and satisfying vegetarian dishes, with our signature Grilled Vegetable Platter being a top choice.",Vegan food,7:00 AM,11:00 PM,Grilled Vegetable Platter
91,French Bistro,French Bistro is a charming spot for lovers of French cuisine. Indulge in our signature Coq au Vin and other time-honored French dishes.,French food,8:00 AM,10:00 PM,Coq au Vin
92,Cheese & Burger,"At Cheese & Burger, we’re all about gourmet burgers with the finest cheese and all your favorite toppings.",Fast food,9:00 AM,10:00 PM,Cheeseburger
93,Coq Royale,"Coq Royale specializes in exceptional French cuisine, where Coq au Vin is just the beginning of our authentic and flavorful menu.",French food,6:00 AM,9:00 PM,Coq au Vin
94,Brunch Delight,"Brunch Delight is your ideal spot for a fresh, healthy brunch. Try our Avocado Toast and enjoy a relaxing morning meal.",Brunch  & Other food,6:00 AM,8:00 PM,Avocado Toast
95,Fast Feast,"Fast Feast offers quick, delicious, and nutritious meals with a focus on quality and freshness. Our Cheeseburger is a must-try.",Fast food,6:00 AM,9:00 PM,Cheeseburger
96,Le Gourmet Kitchen,Le Gourmet Kitchen offers an unforgettable French dining experience. The Coq au Vin is a signature dish that showcases the flavors of France.,French food,7:00 AM,11:00 PM,Coq au Vin
97,Avocado & Toast,"Avocado & Toast specializes in healthy brunch options. Our Avocado Toast is the perfect start to your day, loaded with flavor and nutrients.",Brunch  & Other food,6:00 AM,11:00 PM,Avocado Toast
98,Green Veggie Diner,"Green Veggie Diner offers a variety of vegetarian dishes that are both healthy and satisfying, including our standout Grilled Vegetable Platter.",Vegan food,8:00 AM,10:00 PM,Grilled Vegetable Platter
99,The Veggie Grill,"The Veggie Grill specializes in delicious vegetarian dishes made with fresh, seasonal produce. Our Grilled Vegetable Platter is a crowd favorite.",Vegan food,8:00 AM,11:00 PM,Grilled Vegetable Platter
100,Bistro Coq & Café,Bistro Coq & Café is where you can enjoy the perfect Coq au Vin along with freshly brewed coffee and delightful French desserts.,French food,8:00 AM,8:00 PM,Coq au Vin
101,Le Coq Bistro,"A delightful French bistro specializing in traditional Coq au Vin, where every dish is crafted with care, using the finest ingredients to provide a warm, inviting experience. Whether you're here for a quick meal or a leisurely dining experience, we promise quality and consistency in every bite.",French food,6:00 AM,10:00 PM,Coq au Vin
102,Sunny Side Cafe,"A charming brunch spot offering wholesome, delicious meals with a focus on fresh ingredients. Our Avocado Toast is a crowd favorite, served with a variety of toppings to satisfy every craving. Enjoy a laid-back atmosphere and friendly service!",Brunch  & Other food,8:00 AM,9:00 PM,Avocado Toast
103,The French Table,"Experience the taste of France at The French Table. Our Coq au Vin is the star of the menu, alongside other classic French dishes prepared with the utmost attention to detail. Join us for an unforgettable dining experience that brings the heart of French cuisine to your table.",French food,6:00 AM,9:00 PM,Coq au Vin
104,Bella Trattoria,"Taste the authentic flavors of Italy at Bella Trattoria. From the rich flavors of our Chef's Special to a wide variety of Italian-inspired dishes, we provide a cozy environment where family and friends can enjoy hearty meals with excellent service.",Italian food,6:00 AM,10:00 PM,Chef's Special
105,Sushi Express,"Sushi Express serves fast, delicious sushi and other quick bites, perfect for a lunch break or a casual dinner. Enjoy our expertly crafted dishes, including the classic Cheeseburger, all while receiving prompt and friendly service.",Fast food,8:00 AM,11:00 PM,Cheeseburger
106,La Trattoria Verde,"A place where rustic Italian dining meets sophistication. Our Chef's Special changes daily, using the freshest ingredients to create a delightful surprise for your tastebuds. La Trattoria Verde is perfect for any occasion, offering a warm and inviting atmosphere.",Italian food,6:00 AM,10:00 PM,Chef's Special
107,Maxie's Fine Dining,"Step into a world of gourmet flavors at Maxie’s Fine Dining. With a modern twist on Southern cooking, our Beef Wellington is a guest favorite, served alongside our impressive selection of wines. Perfect for a special evening or a casual night out.",Fine dining,7:00 AM,10:00 PM,Beef Wellington
108,Red's Fast Grill,"Red's Fast Grill offers delicious fast food with a twist. Our Cheeseburger is a standout item, featuring premium ingredients and quick service. Ideal for a fast meal or a casual dining experience, served in a fun, friendly atmosphere.",Fast food,7:00 AM,10:00 PM,Cheeseburger
109,Big Subs Deli,"At Big Subs Deli, we pride ourselves on our oversized sandwiches made with the freshest ingredients. Whether you’re here for a quick snack or a hearty meal, our Cheeseburger and other classic fast food dishes are sure to satisfy.",Fast food,6:00 AM,10:00 PM,Cheeseburger
110,Sushi 7737,Sushi 7737 offers the finest sushi with a focus on quality and freshness. Our Chef’s Special is designed to please every palate with delicious combinations of the best seasonal ingredients.,Italian food,7:00 AM,10:00 PM,Chef's Special
111,Le Coq Bistro & Grill,"Enjoy the best of French cuisine at Le Coq Bistro & Grill, where our Coq au Vin is prepared to perfection. A welcoming environment with a blend of classic and modern French dishes, making it a perfect place for family gatherings or intimate dinners.",French food,7:00 AM,10:00 PM,Coq au Vin
112,Green's Brunch Bar,"Green’s Brunch Bar is the place to be for a relaxed and delicious start to your day. Our Avocado Toast, topped with fresh ingredients, is the perfect choice for a healthy brunch experience.",Brunch  & Other food,8:00 AM,9:00 PM,Avocado Toast
113,Orange Garden,"Orange Garden serves fresh, vegetarian delights with a twist of creativity. Our Grilled Vegetable Platter is packed with flavor, making it the perfect choice for anyone looking for a healthy and hearty meal in a vibrant and welcoming setting.",Vegan food,9:00 AM,10:00 PM,Grilled Vegetable Platter
114,Hungry Dining,"At Hungry Dining, we strive to deliver exceptional experiences for every guest. Indulge in our Beef Wellington, a masterful dish that showcases the skill and creativity of our chefs, along with a curated selection of fine wines and other gourmet offerings.",Fine dining,9:00 AM,9:00 PM,Beef Wellington
115,Fat Bakeshop,"Fat Bakeshop is all about indulgence, from decadent pastries to savory delights. Our Coq au Vin is prepared with a focus on flavor and quality, served alongside freshly baked treats that will make every visit memorable.",French food,9:00 AM,11:00 PM,Coq au Vin
116,Juicy Creations,"Juicy Creations is a refreshing destination for those seeking fresh juices, smoothies, and light bites. Our Coq au Vin is a hearty meal that will satisfy any craving, all served in a bright, welcoming atmosphere.",French food,8:00 AM,11:00 PM,Coq au Vin
117,Belly Brunch,"Belly Brunch offers wholesome, delicious meals with a focus on fresh and healthy ingredients. Our Avocado Toast is made to perfection, ideal for a laid-back brunch experience with friends and family.",Brunch  & Other food,10:00 AM,10:00 PM,Avocado Toast
118,AHP Pizzeria,"AHP Pizzeria serves classic Italian flavors with a contemporary twist. From our Chef’s Special to a wide variety of traditional pizzas, every meal is prepared with the finest ingredients to ensure a satisfying and delightful experience.",Italian food,6:00 AM,11:00 PM,Chef's Special
119,28 Italian Kitchen,"28 Italian Kitchen offers a variety of exquisite Italian dishes, with a focus on fresh, seasonal ingredients. Our Chef's Special is a highlight, showcasing the finest Italian flavors in every bite.",Italian food,9:00 AM,8:00 PM,Chef's Special
120,Fat House Grill,"Fat House Grill serves delicious Southern-inspired meals, with a special focus on modern cuisine. From our Beef Wellington to other signature dishes, our restaurant delivers an exceptional dining experience in a welcoming environment.",French food,8:00 AM,11:00 PM,Coq au Vin
121,Blue Plate Dining,"Blue Plate Dining offers exceptional fine dining with a focus on high-quality ingredients and innovative culinary techniques. Our Beef Wellington is the star of the menu, prepared to perfection for an unforgettable dining experience.",Fine dining,7:00 AM,8:00 PM,Beef Wellington
122,Blue Brasserie & Bar,"Blue Brasserie & Bar offers a combination of fine dining and casual elegance. Our Beef Wellington is a favorite among guests, served alongside a selection of fine wines and crafted cocktails.",Fine dining,6:00 AM,11:00 PM,Beef Wellington
123,Big Subs Grill,"Big Subs Grill serves hearty, oversized sandwiches made with the freshest ingredients. Whether you're grabbing a quick lunch or indulging in our Cheeseburger, you can always count on fast and friendly service.",French food,6:00 AM,8:00 PM,Coq au Vin
124,Orange Pub & Grill,Orange Pub & Grill serves up classic fast food favorites like our delicious Cheeseburger in a relaxed and friendly atmosphere. Perfect for a casual meal with friends or family.,Fast food,10:00 AM,9:00 PM,Cheeseburger
125,Orange Sushi Bar,"At Orange Sushi Bar, we specialize in serving fast, fresh, and delicious sushi. Alongside our sushi, enjoy a range of tasty fast food options like our classic Cheeseburger.",Fast food,10:00 AM,10:00 PM,Cheeseburger
126,La Cuisine Royale,"Dedicated to crafting exceptional French dishes with the finest ingredients, ensuring every plate reflects the art of classic French cuisine.",French food,8:00 AM,10:00 PM,Coq au Vin
127,Culver's Classic Grill,"A family favorite serving hearty meals with a dedication to quality ingredients and an American tradition of great food, from ButterBurgers to fresh salads.",Italian food,7:00 AM,9:00 PM,Chef's Special
128,Smoky Oak,"A barbecue joint that brings bold flavors and smoky perfection to every dish, from tender meats to freshly grilled sides.",BBQ food,8:00 AM,9:00 PM,Grilled Vegetable Platter
129,Trattoria Del Vino,"An Italian haven offering authentic cuisine, prepared with regional ingredients and passion for Italian traditions.",Italian food,7:00 AM,11:00 PM,Chef's Special
130,The Parisian Café,"A refined French café where the essence of French cooking is captured in every dish, focusing on culinary excellence and a welcoming atmosphere.",French food,9:00 AM,9:00 PM,Coq au Vin
131,The Velvet Plate,"A fine dining destination that offers an elevated dining experience, using only the highest quality ingredients to prepare each exquisite meal.",Fine dining,9:00 AM,9:00 PM,Beef Wellington
132,Brunch & Bloom,"A chic brunch spot where fresh, healthy meals are paired with a vibrant atmosphere, designed to refresh your senses and satisfy your cravings.",Brunch  & Other food,8:00 AM,11:00 PM,Avocado Toast
133,Green Leaf Bistro,"A haven for plant-based dining, offering creative vegetarian dishes made from the finest organic ingredients to nourish both body and soul.",Vegan food,6:00 AM,9:00 PM,Grilled Vegetable Platter
134,Viva La Italia,"An Italian dining experience where tradition meets innovation, serving carefully crafted meals in a welcoming and family-friendly environment.",Italian food,9:00 AM,9:00 PM,Chef's Special
